,Batsmen,R,B,4s,6s,SR
311,"Total (8 wickets, 20 overs)",147,,,,
312,Max O'DowdMP O'Dowd  lbw Shadab Khan,8,13,0,0,61.53
313,Stephan MyburghSJ Myburgh  c Mohammad Wasim b Shaheen Shah Afridi,6,11,1,0,54.54
314,Bas de LeedeBFW de Leede  Retired Hurt,6,16,1,0,37.5
315,Tom CooperTLW Cooper  c Mohammad Wasim b Shadab Khan,1,2,0,0,50
316,Colin AckermannCN Ackermann  lbw Shadab Khan,27,27,2,0,100
317,Scott EdwardsSA Edwards  c Iftikhar Ahmed b Naseem Shah,15,20,1,0,75
318,Roelof van der MerweRE van der Merwe  b Haris Rauf,5,6,0,0,83.33
319,Tim PringleTJG Pringle  b Mohammad Wasim,5,8,0,0,62.5
320,Logan van BeekL van Beek  NOT OUT,6,9,0,0,66.66
321,Fred KlaassenFJ Klaassen  b Mohammad Wasim,0,1,0,0,0
322,Paul van MeekerenPA van Meekeren  run out (Shadab Khan),7,7,0,0,100
323,Brandon GloverBD Glover,-,-,-,-,-
324,"Extras (w 2, lb 3)",5,,,,
325,"Total (9 wickets, 20 overs)",91,,,,
326,Babar AzamBabar Azam  run out (Roelof van der Merwe),4,5,1,0,80
327,Muhammad RizwanMuhammad Rizwan  c Scott Edwards b Paul van Meekeren,49,39,5,0,125.64
328,Fakhar ZamanFakhar Zaman  c Scott Edwards b Brandon Glover,20,16,3,0,125
329,Shan MasoodShan Masood  c Paul van Meekeren b Brandon Glover,12,16,0,0,75
330,Iftikhar AhmedIftikhar Ahmed  NOT OUT,6,5,0,0,120
331,Shadab KhanShadab Khan  NOT OUT,4,2,1,0,200
332,Mohammad NawazMohammad Nawaz,-,-,-,-,-
333,Mohammad WasimMohammad Wasim,-,-,-,-,-
334,Shaheen Shah AfridiShaheen Shah Afridi,-,-,-,-,-
335,Haris RaufHaris Rauf,-,-,-,-,-
336,Naseem ShahNaseem Shah,-,-,-,-,-
337,Extras,0,,,,
338,"Total (4 wickets, 13.5 overs)",95,,,,
339,Rohit SharmaRG Sharma  c & b Lungi Ngidi,15,14,1,1,107.14
340,KL RahulKL Rahul  c Aiden Markram b Lungi Ngidi,9,14,0,1,64.28
341,Virat KohliV Kohli  c Kagiso Rabada b Lungi Ngidi,12,11,2,0,109.09
342,Suryakumar YadavSK Yadav  c Keshav Maharaj b Wayne Parnell,68,40,6,3,170
343,Deepak HoodaDJ Hooda  c Quinton de Kock b Anrich Nortje,0,3,0,0,0
344,Hardik PandyaHH Pandya  c Kagiso Rabada b Lungi Ngidi,2,3,0,0,66.66
345,Dinesh KarthikKD Karthik  c Rilee Rossouw b Wayne Parnell,6,15,0,0,40
346,Ravichandran AshwinR Ashwin  c Kagiso Rabada b Wayne Parnell,7,11,0,0,63.63
347,Bhuvneshwar KumarB Kumar  NOT OUT,4,6,0,0,66.66
348,Mohammed ShamiMohammed Shami  run out (Anrich Nortje),0,2,0,0,0
349,Arshdeep SinghArshdeep Singh  NOT OUT,2,1,0,0,200
350,Rishabh PantRR Pant,-,-,-,-,-
351,"Extras (w 1, b 5, lb 2)",8,,,,
352,"Total (9 wickets, 20 overs)",133,,,,
353,Temba BavumaT Bavuma  c Dinesh Karthik b Mohammed Shami,10,15,0,1,66.66
354,Quinton de KockQ de Kock  c KL Rahul b Arshdeep Singh,1,3,0,0,33.33
355,Rilee RossouwRR Rossouw  lbw Arshdeep Singh,0,2,0,0,0
356,Aiden MarkramAK Markram  c Suryakumar Yadav b Hardik Pandya,52,41,6,1,126.82
357,David MillerDA Miller  NOT OUT,59,46,4,3,128.26
358,Tristan StubbsT Stubbs  lbw Ravichandran Ashwin,6,6,1,0,100
359,Wayne ParnellWD Parnell  NOT OUT,2,5,0,0,40
360,Keshav MaharajKA Maharaj,-,-,-,-,-
361,Kagiso RabadaK Rabada,-,-,-,-,-
362,Anrich NortjeA Nortje,-,-,-,-,-
363,Lungi NgidiL Ngidi,-,-,-,-,-
364,"Extras (w 1, b 4, lb 2)",7,,,,
365,"Total (5 wickets, 19.4 overs)",137,,,,
366,David WarnerDA Warner  c Mark Adair b Barry McCarthy,3,7,0,0,42.85
367,Aaron FinchAJ Finch  c Mark Adair b Barry McCarthy,63,44,5,3,143.18
368,Mitchell MarshMR Marsh  c Lorcan Tucker b Barry McCarthy,28,22,2,2,127.27
369,Glenn MaxwellGJ Maxwell  c Lorcan Tucker b Joshua Little,13,9,0,1,144.44
370,Marcus StoinisMP Stoinis  c George Dockrell b Joshua Little,35,25,3,1,140
